probe,rep,si,no,astenuti,ok,finish_reason,error
P3_elettore_medio,8,100.0,0.0,0.0,True,stop,
P2_aggregata_informed,6,35.0,55.0,10.0,True,stop,
P3_elettore_medio,7,100.0,0.0,0.0,True,stop,
P1_aggregata_ballot,15,45.0,40.0,15.0,True,stop,
P1_aggregata_ballot,12,45.0,40.0,15.0,True,stop,
P2_aggregata_informed,5,42.5,48.0,9.5,True,stop,
P3_elettore_medio,6,100.0,0.0,0.0,True,stop,
P2_aggregata_informed,4,42.5,48.0,9.5,True,stop,
P1_aggregata_ballot,2,45.0,40.0,15.0,True,stop,
P3_elettore_medio,5,0.0,0.0,100.0,True,stop,
P2_aggregata_informed,3,42.5,45.0,12.5,True,stop,
P2_aggregata_informed,2,45.5,42.0,12.5,True,stop,
P3_elettore_medio,3,100.0,0.0,0.0,True,stop,
P1_aggregata_ballot,1,45.0,40.0,15.0,True,stop,
P2_aggregata_informed,1,42.5,47.5,10.0,True,stop,
P2_aggregata_informed,0,42.5,48.0,9.5,True,stop,
P2_aggregata_informed,14,42.5,47.5,10.0,True,stop,
P1_aggregata_ballot,29,42.5,47.5,10.0,True,stop,
P1_aggregata_ballot,28,42.5,47.5,10.0,True,stop,
P3_elettore_medio,1,100.0,0.0,0.0,True,stop,
P1_aggregata_ballot,27,45.0,40.0,15.0,True,stop,
P1_aggregata_ballot,20,42.5,45.0,12.5,True,stop,
P2_aggregata_informed,26,35.0,50.0,15.0,True,stop,
P2_aggregata_informed,15,42.5,47.5,10.0,True,stop,
P1_aggregata_ballot,19,42.5,45.0,12.5,True,stop,
P1_aggregata_ballot,26,42.5,47.5,10.0,True,stop,
P3_elettore_medio,29,0.0,0.0,100.0,True,stop,
P1_aggregata_ballot,25,35.0,45.0,20.0,True,stop,
P1_aggregata_ballot,9,30.0,55.0,15.0,True,stop,
P3_elettore_medio,28,100.0,0.0,0.0,True,stop,
P1_aggregata_ballot,0,45.5,42.0,12.5,True,stop,
P1_aggregata_ballot,8,45.0,40.0,15.0,True,stop,
P3_elettore_medio,27,100.0,0.0,0.0,True,stop,
P1_aggregata_ballot,24,42.5,35.0,22.5,True,stop,
P1_aggregata_ballot,22,45.0,40.0,15.0,True,stop,
P3_elettore_medio,26,0.0,0.0,100.0,True,stop,
P1_aggregata_ballot,4,42.5,47.5,10.0,True,stop,
